rank	run_id	ok	score	avg_mse	avg_bz_mse	runtime_sec	elapsed_wall_sec	gpu	epochs	lr	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	bio_reg_weight	hidden	bottleneck	batch_size	weight_decay	activation	dropout	layer_norm	residual	WARMUP_REFINEMENT_FRACTION	POSTHOC_ZERO_SHRINK_SCALE	REFINED_PBIO_TRAIN_SCALE	simplicity_penalty	local_distance	error
17	r1_000	True	0.1445982217	0.2018372543	0.0436795946	295.227	295.227		420	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	0.000000	
13	r1_001	True	0.1444834733	0.2012956589	0.0438356438	293.659	293.659		420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
25	r1_002	True	0.1449503678	0.2022603532	0.0438201912	280.354	280.354		420	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
44	r1_003	True	0.1462608576	0.1875242900	0.0524987126	282.806	282.806		420	0.00025	0.004	0.6	0.04	2.0	1.0	0.2	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
33	r1_004	True	0.1453001482	0.2077777523	0.0414112720	281.867	281.867		420	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.15	1.0	0.096000	1.000000	
41	r1_005	True	0.1460790607	0.2179174641	0.0371203286	291.189	291.189		420	0.00025	0.004	0.6	0.04	2.0	1.0	0.3	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
16	r1_006	True	0.1445628876	0.2021552599	0.0434852576	285.889	285.889		420	0.00025	0.004	0.6	0.06	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
8	r1_007	True	0.1441798289	0.2015387611	0.0434104484	268.933	268.933		420	0.0002	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
5	r1_008	True	0.1437334031	0.2000130530	0.0437268767	233.393	233.393		360	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
15	r1_009	True	0.1445100838	0.2009709902	0.0440245887	282.929	282.929		420	0.00025	0.003	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
22	r1_010	True	0.1448157874	0.2025596878	0.0435359435	291.600	291.600		420	0.00025	0.004	0.6	0.02	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
2	r1_011	True	0.1423612565	0.1946155647	0.0450534742	281.609	281.609		420	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[64]	16	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	1.000000	
21	r1_012	True	0.1447900410	0.1975632677	0.0460084072	288.230	288.230		420	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.05	1.0	0.096000	1.000000	
47	r1_013	True	0.1480182171	0.2104598215	0.0427883064	288.697	288.697		420	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[96]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.128000	1.000000	
19	r1_014	True	0.1446301169	0.2029455396	0.0431573471	283.831	283.831		420	0.00025	0.005	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
35	r1_015	True	0.1453878928	0.2025954322	0.0440901767	319.177	319.177		480	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
